id,nombre,nacionalidad,equipo_id
Flavio_Briatore,Flavio Briatore,Italia,Renault
Frederic_Vasseur,Frederic Vasseur,Francia,Ferrari
Toto_Wolff,Toto Wolff,Austria,Mercedes
Zack_Brown,Zack Brown,Reino Unido,McLaren
