id,año,piloto_id,temporada_id
CamPilotos2005,2005,Fernando_Alonso,Temporada2005
CamPilotos2025,2025,Lando_Norris,Temporada2025
CamPilotos2023,2023,Max_Verstapen,Temporada2023


